Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
14,PV070782,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-005/2024,H5N1,6.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
15,PV070788,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-006/2024,H5N1,1.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
16,PV070795,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/crow/Illinois/24-004479-001/2024,H5N1,3.0,2.3.4.4b,B3.7,Avian,USA,Crow
17,PV070802,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/crow/Illinois/24-004479-002/2024,H5N1,1.0,2.3.4.4b,B3.7,Avian,USA,Crow
18,PV070816,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/western gull/California/24-004708-001/2024,H5N1,5.0,2.3.4.4b,B3.7,Avian,USA,Gull
19,PV070822,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/canada goose/New Mexico/24-005749-001/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,USA,Goose
20,PV070828,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Indiana/24-005716-003/2024,H5N1,6.0,2.3.4.4b,B3.6,Avian,USA,Chicken
21,PV070835,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Indiana/24-005716-006/2024,H5N1,6.0,2.3.4.4b,B3.6,Avian,USA,Chicken
22,PV070842,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Minnesota/24-005907-001/2024,H5N1,4.0,2.3.4.4b,B3.6,Avian,USA,Chicken
23,PV070856,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-009/2024,H5N1,4.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
24,PV070862,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-029/2024,H5N1,6.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
25,PV070868,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-030/2024,H5N1,8.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
26,PV070875,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-032/2024,H5N1,2.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
27,PV070882,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-036/2024,H5N1,4.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
28,PV070896,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-044/2024,H5N1,5.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
29,PV070902,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-047/2024,H5N1,2.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
30,PV070908,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-050/2024,H5N1,4.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
31,PV070915,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-008767-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
32,PV070922,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/Texas/24-008764-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
33,PV070929,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/Texas/24-008764-002/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
34,PV070936,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/grackle/Texas/24-008765-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Grackle
35,PV070942,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/pigeon/Texas/24-008765-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,USA,Pigeon
36,PV070948,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-019/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
37,PV070955,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009029-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
38,PV070962,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009087-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
39,PV070969,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009088-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
40,PV070976,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/Montana/24-009038-001/2024,H5N1,8.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Domestic Cat
41,PV070982,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
42,PV070988,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-005/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
43,PV070995,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-007/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
44,PV071002,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-008/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
45,PV071009,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009028-009/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
46,PV071016,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-007/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
47,PV071022,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-008/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
48,PV071028,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
49,PV071035,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-002/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
50,PV071042,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
51,PV071049,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-002/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
52,PV071056,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-003/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
53,PV071062,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-004/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
54,PV071068,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-006/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
55,PV071075,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010514-002/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
56,PV071082,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-004/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
57,PV071089,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-005/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
58,PV071096,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-006/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
59,PV071102,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-008/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
60,PV071108,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-010/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
61,PV071115,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-003/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
62,PV071122,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-005/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
63,PV071129,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-011/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
64,PV071136,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-012/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
65,PV071142,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/raccoon/New Mexico/24-009496-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Raccoon
66,PV071148,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-008/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
67,PV071155,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-008/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
68,PV071162,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-012/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
69,PV071169,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Kansas/24-010482-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
70,PV071176,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Kansas/24-010482-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,USA,Chicken
71,PV071182,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009290-005/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
72,PV071188,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009290-006/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
73,PV071195,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/New Mexico/24-009116-004/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
74,PV071202,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/Oklahoma/24-009118-002/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
75,PV071209,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-006/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
76,PV071216,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-007/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
77,PV071222,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-009/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
78,PV071228,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-009/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
79,PV071235,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-018/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
80,PV071242,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-018/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
81,PV071249,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-019/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
82,PV071256,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-020/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
83,PV071262,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-022/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
84,PV071268,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-023/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
85,PV071275,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010512-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
86,PV071282,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010513-003/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
87,PV071289,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010513-004/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
88,PV071296,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010513-006/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
89,PV071302,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010513-007/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
90,PV071308,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-003/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
91,PV071315,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-005/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
92,PV071322,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-006/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
93,PV071329,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-007/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
94,PV071336,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-009/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
95,PV071342,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-010/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
96,PV071348,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-011/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
97,PV071355,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-012/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
98,PV071362,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-014/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
99,PV071369,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-011/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
100,PV071376,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-012/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
101,PV071382,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-014/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
102,PV071388,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-015/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
103,PV071395,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-016/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
104,PV071402,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-007/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
105,PV071409,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-008/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
106,PV071416,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
107,PV071422,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-003/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
108,PV071428,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-010331-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
109,PV071435,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
110,PV071442,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-002/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
111,PV071449,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-004/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
112,PV071456,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-005/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
113,PV071462,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-007/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
114,PV071468,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Idaho/24-009491-006/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
115,PV071475,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Idaho/24-009491-006/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
116,PV071482,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
117,PV071489,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-002/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
118,PV071496,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
119,PV071502,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009775-001/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
120,PV071508,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009776-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
121,PV071515,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009776-004/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
122,PV071522,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009776-004/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
123,PV071529,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Idaho/24-009491-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
124,PV071536,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Idaho/24-009491-002/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
125,PV071542,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-016/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
126,PV071548,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-016/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
127,PV071555,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009367-023/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
128,PV071562,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-009309-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
129,PV071569,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-009309-002/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
130,PV071576,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009308-006/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
